Date,Total Unique Flight Tracks,Total Flight Pairs Analyzed,Total Risky CPA Events,Long streak Duration,Total Risky CPA Duration (Seconds),Max Consecutive Risky Points,Total Entries into Risky Box,Number Streak more than 5,Same Course Risky Points,Crossing Course Risky Points,Opposite Course Risky Points,Mean Total Duration,STD Total Duration,Mean Longest streak Duration,STD Longest Streak Duration,Mean Entries,STD Entries,Entries over number of flights,Mean Total Unique Flights,STD Total Unique Flights,,Total Data Points,Ratio of CPA event over total datapoints,VFR,MQB,ILS,RNAV,Total Unique Flight Tracks
2025-04-16,257,152,4,0,20,1,4,,4,0,0,123.7121212,95.31570591,32.71212121,38.35747533,12.46969697,10.09233087,0.015564202,370.7045455,63.84091718,,25836,0.000154823,26,39,0,1,257
2025-04-17,405,212,21,75,105,5,6,,18,3,0,,,,,,,0.014814815,,,,41062,0.000511422,28,39,2,0,405
2025-04-18,404,227,17,25,85,5,7,,17,0,0,,,,,,,0.017326733,,,,37865,0.000448963,50,48,0,1,404
2025-04-19,393,201,20,0,100,4,7,,20,0,0,,,,,,,0.017811705,,,,37000,0.000540541,56,76,0,0,393
2025-04-20,419,241,39,85,195,7,17,,39,0,0,,,,,,,0.040572792,,,,39291,0.000992594,67,58,1,3,419
2025-04-21,434,275,54,90,270,7,26,,54,0,0,,,872,0.210054682,,,0.059907834,,,,42371,0.001274457,88,76,0,0,434
2025-04-22,404,232,24,0,120,2,20,,24,0,0,,,4151.3,,,,0.04950495,,,,38431,0.000624496,77,90,0,1,404
2025-04-23,247,127,5,0,25,1,5,,5,0,0,,,,,,,0.020242915,,,,24301,0.000205753,15,20,0,0,247
2025-04-24,370,,24,34,120,,11,,,,,,,,,,,0.02972973,,,,35000,0.000685714,,,,,
2025-04-25,364,239,10,25,50,5,6,,10,0,0,,,,,,,0.016483516,,,,25681,0.000389393,5,5,0,0,364
2025-04-26,441,293,30,25,150,5,21,,30,0,0,,,,,,,0.047619048,,,,31800,0.000943396,46,45,0,0,441
2025-04-27,189,120,1,0,5,1,1,,1,0,0,,,,,,,0.005291005,,,,12939,7.73E-05,,,,,189
