Date,Total Unique Flight Tracks,Total Flight Pairs Analyzed,Total Risky CPA Events,Long streak Duration,Total Risky CPA Duration (Seconds),Max Consecutive Risky Points,Number Streak more than 5,Total Entries into Risky Box,Same Course Risky Points,Crossing Course Risky Points,Opposite Course Risky Points,Mean Total Duration,STD Total Duration,Mean Longest streak Duration,STD Longest Streak Duration,Mean Entries,STD Entries
2025-04-16,257,152,25,50,125,10,,16,25,0,0,696.7428571,431.8159557,459.4857143,311.7541954,49.01428571,29.72132128
2025-04-17,405,212,104,295,520,10,,45,77,27,0,,,,,,
2025-04-18,404,227,116,460,580,9,,38,109,7,0,,,,,,
2025-04-19,393,201,189,635,945,10,,69,157,32,0,,,,,,
2025-04-20,419,241,244,990,1220,15,,65,217,27,0,,,,,,
2025-04-21,434,275,265,1040,1325,14,,76,242,23,0,,,,,,
2025-04-22,404,232,213,580,1065,12,,90,185,28,0,,,,,,
2025-04-23,247,127,12,0,60,2,,11,10,2,0,,,,,,
2025-04-24,,,,439,662,,,47,,,,,,,,,
2025-04-25,364,239,30,40,150,8,,23,30,0,0,,,,,,
2025-04-26,441,293,189,530,945,11,,83,173,16,0,,,,,,
2025-04-27,189,120,4,0,20,2,,3,3,1,0,,,,,,
2025-04-28,87,28,29,140,145,9,,9,23,6,0,,,,,,
2025-04-29,282,147,94,295,470,13,,28,82,12,0,,,,,,
2025-04-30,401,246,208,770,1040,15,,68,183,25,0,,,,,,
2025-05-01,418,251,163,380,815,14,,75,147,16,0,,,,,,
2025-05-02,445,294,159,510,795,14,,60,136,23,0,,,,,,
2025-05-03,415,204,44,80,220,6,,23,40,4,0,,,,,,
2025-05-04,416,310,339,1085,1695,15,,125,325,14,0,,,,,,
2025-05-05,437,328,375,1345,1875,14,,124,342,33,0,,,,,,
2025-05-06,416,248,234,715,1170,21,,90,212,22,0,,,,,,
2025-05-07,362,160,53,230,265,13,,16,51,2,0,,,,,,
2025-05-08,245,146,176,650,880,13,,52,153,23,0,,,,,,
2025-05-09,375,241,257,1015,1285,18,,82,234,23,0,,,,,,
2025-05-10,423,280,254,820,1270,14,,84,220,34,0,,,,,,
2025-05-11,417,251,105,360,525,13,,37,101,4,0,,,,,,
2025-05-12,421,218,76,190,380,10,,36,71,5,0,,,,,,
2025-05-13,400,216,108,405,540,13,,41,101,7,0,,,,,,
2025-05-14,331,190,118,355,590,14,,35,109,9,0,,,,,,
2025-05-15,430,289,266,945,1330,17,,86,244,22,0,,,,,,
2025-05-16,420,243,221,710,1105,16,,80,211,10,0,,,,,,
2025-05-17,417,253,58,145,290,11,,25,54,4,0,,,,,,
2025-05-18,371,205,62,175,310,11,,22,59,3,0,,,,,,
2025-05-19,262,142,4,0,20,4,0,1,4,0,0,,,,,,
2025-05-20,327,161,60,145,300,14,4,26,53,7,0,,,,,,
2025-05-21,404,219,89,335,445,14,9,30,89,0,0,,,,,,
2025-05-22,405,260,144,535,720,10,14,53,134,10,0,,,,,,
2025-05-23,404,211,19,55,95,11,3,8,17,2,0,,,,,,
2025-05-24,393,185,59,130,295,11,3,27,49,10,0,,,,,,
2025-05-25,319,134,0,0,0,0,0,0,0,0,0,,,,,,
2025-05-26,237,65,12,0,60,4,0,6,7,5,0,,,,,,
2025-05-27,367,176,169,535,845,13,13,58,154,15,0,,,,,,
2025-05-28,350,167,47,175,235,8,5,19,41,6,0,,,,,,
2025-05-29,361,203,200,760,1000,19,16,50,183,17,0,,,,,,
2025-05-30,368,211,186,540,930,16,73,14,186,,,,,,,,
2025-05-31,360,226,204,635,1020,14,15,77,,,,,,,,,
2025-06-01,360,219,127,345,635,10,9,56,,,,,,,,,
2025-06-02,289,177,165,465,825,11,11,71,,,,,,,,,
2025-06-03,271,146,87,290,435,10,8,31,,,,,,,,,
2025-06-04,284,198,150,345,750,14,9,76,,,,,,,,,
2025-06-05,337,217,154,365,770,10,10,76,,,,,,,,,
2025-06-06,330,175,134,355,670,11,9,60,,,,,,,,,
2025-06-07,370,177,203,760,1015,16,17,65,,,,,,,,,
2025-06-08,332,159,132,490,660,12,11,40,,,,,,,,,
2025-06-09,347,148,111,400,555,12,10,33,,,,,,,,,
2025-06-10,351,154,23,35,115,7,1,13,,,,,,,,,
2025-06-11,348,138,83,285,415,13,7,27,,,,,,,,,
2025-06-12,376,202,188,520,940,11,13,74,,,,,,,,,
2025-06-13,401,242,197,680,985,13,15,59,,,,,,,,,
2025-06-14,415,267,216,560,1080,11,17,88,,,,,,,,,
2025-06-15,365,170,214,790,1070,13,21,72,,,,,,,,,
2025-06-16,185,77,49,210,245,11,5,16,,,,,,,,,
2025-06-17,372,175,195,675,975,13,17,62,,,,,,,,,
2025-06-18,403,223,292,990,1460,19,25,98,,,,,,,,,
2025-06-21,391,240,78,335,390,17,7,17,,,,,,,,,
2025-06-22,394,194,190,735,950,18,19,57,,,,,,,,,
2025-06-23,410,224,264,925,1320,20,22,86,,,,,,,,,
2025-06-24,357,178,95,295,475,13,7,32,,,,,,,,,
2025-06-25,283,145,82,335,410,11,9,23,,,,,,,,,
2025-06-26,430,281,210,755,1050,17,18,66,,,,,,,,,
